 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 7.2023    Time:  15:59:56
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.100     0.340       0.0   0.969E+02     1.000     0.080     1.000     1.000     1.000
    2      0.07     0.100     0.340       0.0   0.969E+02     1.000     0.080     1.000     1.000     1.000
    3      0.16     0.100     0.340       0.0   0.969E+02     1.000     0.079     1.000     1.000     1.000
    4      0.27     0.100     0.340       0.0   0.969E+02     1.000     0.079     1.000     1.000     1.000
    5      0.40     0.100     0.340       0.0   0.969E+02     1.000     0.079     1.000     1.000     1.000
    6      0.55     0.100     0.340       0.0   0.969E+02     1.000     0.078     1.000     1.000     1.000
    7      0.72     0.100     0.340       0.0   0.969E+02     1.000     0.078     1.000     1.000     1.000
    8      0.90     0.100     0.340       0.0   0.969E+02     1.000     0.077     1.000     1.000     1.000
    9      1.10     0.100     0.340       0.0   0.969E+02     1.000     0.076     1.000     1.000     1.000
   10      1.32     0.100     0.340       0.0   0.969E+02     1.000     0.076     1.000     1.000     1.000
   11      1.56     0.100     0.340       0.0   0.969E+02     1.000     0.075     1.000     1.000     1.000
   12      1.82     0.100     0.340       0.0   0.969E+02     1.000     0.074     1.000     1.000     1.000
   13      2.09     0.100     0.340       0.0   0.969E+02     1.000     0.073     1.000     1.000     1.000
   14      2.39     0.100     0.340       0.0   0.969E+02     1.000     0.072     1.000     1.000     1.000
   15      2.70     0.100     0.340       0.0   0.969E+02     1.000     0.071     1.000     1.000     1.000
   16      3.03     0.100     0.340       0.0   0.969E+02     1.000     0.070     1.000     1.000     1.000
   17      3.38     0.100     0.340       0.0   0.969E+02     1.000     0.069     1.000     1.000     1.000
   18      3.75     0.100     0.340       0.0   0.969E+02     1.000     0.068     1.000     1.000     1.000
   19      4.14     0.100     0.340       0.0   0.969E+02     1.000     0.067     1.000     1.000     1.000
   20      4.54     0.100     0.340       0.0   0.969E+02     1.000     0.065     1.000     1.000     1.000
   21      4.97     0.100     0.340       0.0   0.969E+02     1.000     0.064     1.000     1.000     1.000
   22      5.41     0.100     0.340       0.0   0.969E+02     1.000     0.063     1.000     1.000     1.000
   23      5.87     0.100     0.340       0.0   0.969E+02     1.000     0.061     1.000     1.000     1.000
   24      6.35     0.100     0.340       0.0   0.969E+02     1.000     0.060     1.000     1.000     1.000
   25      6.85     0.100     0.340       0.0   0.969E+02     1.000     0.058     1.000     1.000     1.000
   26      7.37     0.100     0.340       0.0   0.969E+02     1.000     0.056     1.000     1.000     1.000
   27      7.90     0.100     0.340       0.0   0.969E+02     1.000     0.055     1.000     1.000     1.000
   28      8.45     0.100     0.340       0.0   0.969E+02     1.000     0.053     1.000     1.000     1.000
   29      9.02     0.100     0.340       0.0   0.969E+02     1.000     0.051     1.000     1.000     1.000
   30      9.61     0.100     0.340       0.0   0.969E+02     1.000     0.049     1.000     1.000     1.000
   31     10.22     0.100     0.340       0.0   0.969E+02     1.000     0.047     1.000     1.000     1.000
   32     10.85     0.100     0.340       0.0   0.969E+02     1.000     0.045     1.000     1.000     1.000
   33     11.50     0.100     0.340       0.0   0.969E+02     1.000     0.043     1.000     1.000     1.000
   34     12.16     0.100     0.340       0.0   0.969E+02     1.000     0.041     1.000     1.000     1.000
   35     12.84     0.100     0.340       0.0   0.969E+02     1.000     0.039     1.000     1.000     1.000
   36     13.54     0.100     0.340       0.0   0.969E+02     1.000     0.037     1.000     1.000     1.000
   37     14.26     0.100     0.340       0.0   0.969E+02     1.000     0.034     1.000     1.000     1.000
   38     15.00     0.100     0.340       0.0   0.969E+02     1.000     0.032     1.000     1.000     1.000
   39     15.77     0.100     0.340       0.0   0.969E+02     1.000     0.030     1.000     1.000     1.000
   40     16.54     0.100     0.340       0.0   0.969E+02     1.000     0.027     1.000     1.000     1.000
   41     17.31     0.100     0.340       0.0   0.969E+02     1.000     0.025     1.000     1.000     1.000
   42     18.08     0.100     0.340       0.0   0.969E+02     1.000     0.022     1.000     1.000     1.000
   43     18.85     0.100     0.340       0.0   0.969E+02     1.000     0.020     1.000     1.000     1.000
   44     19.62     0.100     0.340       0.0   0.969E+02     1.000     0.017     1.000     1.000     1.000
   45     20.38     0.100     0.340       0.0   0.969E+02     1.000     0.015     1.000     1.000     1.000
   46     21.15     0.100     0.340       0.0   0.969E+02     1.000     0.012     1.000     1.000     1.000
   47     21.92     0.100     0.340       0.0   0.969E+02     1.000     0.010     1.000     1.000     1.000
   48     22.69     0.100     0.340       0.0   0.969E+02     1.000     0.007     1.000     1.000     1.000
   49     23.46     0.100     0.340       0.0   0.969E+02     1.000     0.005     1.000     1.000     1.000
   50     24.23     0.100     0.340       0.0   0.969E+02     1.000     0.002     1.000     1.000     1.000
   51     25.00     0.100     0.340       0.0   0.969E+02     1.000     0.000     1.000     1.000     1.000
end
